trade_id,timestamp,symbol,event_type,direction,lot,entry_price,exit_price,sl_price,tp_price,pnl,k_sl_req,k_tp_req,k_sl_eff,k_tp_eff,hold_bars,bars_held,exit_reason,regime_id_at_entry,spread_atr_at_entry,flip_used,model_pack_version,clf_version,prm_version,cost_model_version
TS_00001,2025.12.01 10:45:00,US100,ENTRY,LONG,0.0500,25290.47000000,,25180.92000000,25509.57000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.032861,0,0.1.0,0.1.0,0.1.0,0.1
TS_00001,2025.12.01 11:05:00,US100,EXIT,LONG,0.0500,25290.47000000,25271.37000000,25180.92000000,25509.57000000,-0.96,6.000000,12.000000,6.000000,12.000000,72,4,EARLY_EXIT,5,0.032861,0,0.1.0,0.1.0,0.1.0,0.1
TS_00002,2025.12.01 11:10:00,US100,ENTRY,LONG,0.0400,25297.60000000,,25174.81000000,25543.17000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.029319,0,0.1.0,0.1.0,0.1.0,0.1
TS_00002,2025.12.01 11:25:00,US100,EXIT,LONG,0.0400,25297.60000000,25273.25000000,25174.81000000,25543.17000000,-0.97,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,3,0.029319,0,0.1.0,0.1.0,0.1.0,0.1
TS_00003,2025.12.01 11:30:00,US100,ENTRY,LONG,0.0500,25276.47000000,,25170.94000000,25487.53000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.034113,0,0.1.0,0.1.0,0.1.0,0.1
TS_00003,2025.12.01 11:45:00,US100,EXIT,LONG,0.0500,25276.47000000,25250.75000000,25170.94000000,25487.53000000,-1.29,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,3,0.034113,0,0.1.0,0.1.0,0.1.0,0.1
TS_00004,2025.12.01 12:10:01,US100,ENTRY,LONG,0.0500,25265.72000000,,25158.62000000,25479.91000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.033615,0,0.1.0,0.1.0,0.1.0,0.1
TS_00004,2025.12.01 12:25:00,US100,EXIT,LONG,0.0500,25265.72000000,25273.87000000,25158.62000000,25479.91000000,0.41,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,3,0.033615,0,0.1.0,0.1.0,0.1.0,0.1
TS_00005,2025.12.01 12:30:00,US100,ENTRY,LONG,0.0600,25269.97000000,,25181.09000000,25447.73000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.040503,0,0.1.0,0.1.0,0.1.0,0.1
TS_00005,2025.12.01 12:45:00,US100,EXIT,LONG,0.0600,25269.97000000,25285.37000000,25181.09000000,25447.73000000,0.92,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,3,0.040503,0,0.1.0,0.1.0,0.1.0,0.1
TS_00006,2025.12.01 12:55:00,US100,ENTRY,LONG,0.0600,25272.35000000,,25184.97000000,25447.10000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.041201,0,0.1.0,0.1.0,0.1.0,0.1
TS_00006,2025.12.01 13:10:00,US100,EXIT,LONG,0.0600,25272.35000000,25253.37000000,25184.97000000,25447.10000000,-1.14,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,5,0.041201,0,0.1.0,0.1.0,0.1.0,0.1
TS_00007,2025.12.01 13:15:00,US100,ENTRY,LONG,0.0600,25270.85000000,,25183.70000000,25445.16000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.041306,0,0.1.0,0.1.0,0.1.0,0.1
TS_00007,2025.12.01 13:30:00,US100,EXIT,LONG,0.0600,25270.85000000,25259.87000000,25183.70000000,25445.16000000,-0.66,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,3,0.041306,0,0.1.0,0.1.0,0.1.0,0.1
TS_00008,2025.12.01 15:00:00,US100,ENTRY,LONG,0.0400,25184.47000000,,25059.38000000,25434.65000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.028779,1,0.1.0,0.1.0,0.1.0,0.1
TS_00008,2025.12.01 15:15:00,US100,EXIT,LONG,0.0400,25184.47000000,25207.75000000,25059.38000000,25434.65000000,0.93,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,5,0.028779,1,0.1.0,0.1.0,0.1.0,0.1
TS_00009,2025.12.01 15:25:00,US100,ENTRY,LONG,0.0400,25209.85000000,,25084.66000000,25460.24000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.028755,1,0.1.0,0.1.0,0.1.0,0.1
TS_00009,2025.12.01 15:40:00,US100,EXIT,LONG,0.0400,25209.85000000,25201.75000000,25084.66000000,25460.24000000,-0.32,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,5,0.028755,1,0.1.0,0.1.0,0.1.0,0.1
TS_00010,2025.12.01 15:55:00,US100,ENTRY,LONG,0.0400,25205.47000000,,25085.47000000,25445.46000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.030001,1,0.1.0,0.1.0,0.1.0,0.1
TS_00010,2025.12.01 16:10:00,US100,EXIT,LONG,0.0400,25205.47000000,25227.00000000,25085.47000000,25445.46000000,0.86,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,3,0.030001,1,0.1.0,0.1.0,0.1.0,0.1
TS_00011,2025.12.01 17:05:00,US100,ENTRY,LONG,0.0200,25308.00000000,,25061.26000000,25801.47000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.009727,0,0.1.0,0.1.0,0.1.0,0.1
TS_00011,2025.12.01 17:20:00,US100,EXIT,LONG,0.0200,25308.00000000,25319.10000000,25061.26000000,25801.47000000,0.22,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,3,0.009727,0,0.1.0,0.1.0,0.1.0,0.1
TS_00012,2025.12.01 17:40:00,US100,ENTRY,LONG,0.0100,25304.50000000,,24985.02000000,25943.47000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.007512,0,0.1.0,0.1.0,0.1.0,0.1
