trade_id,timestamp,symbol,event_type,direction,lot,entry_price,exit_price,sl_price,tp_price,pnl,k_sl_req,k_tp_req,k_sl_eff,k_tp_eff,hold_bars,bars_held,exit_reason,regime_id_at_entry,spread_atr_at_entry,flip_used,model_pack_version,clf_version,prm_version,cost_model_version,event_detail,deal_ticket,position_id,modify_reason,modify_count,tx_authority,pack_dir_at_entry,active_model_pack_dir,runtime_reload_status,ea_version,log_schema_version
TS_00001,2025.04.02 08:10:02,US100,ENTRY,LONG,0.1200,19395.11000000,,19350.55000000,19484.24000000,,6.000000,12.000000,6.000000,12.000000,72,0,,4,0.188498,1,0.1.0,0.1.0,0.1.0,0.1,,2,2,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00001,2025.04.02 08:25:00,US100,EXIT,LONG,0.1200,19395.11000000,19395.84000000,19350.55000000,19484.24000000,0.09,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,4,0.188498,1,0.1.0,0.1.0,0.1.0,0.1,,3,2,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00002,2025.04.02 08:30:00,US100,ENTRY,LONG,0.1200,19393.74000000,,19348.16000000,19484.90000000,,6.000000,12.000000,6.000000,12.000000,72,0,,2,0.184297,1,0.1.0,0.1.0,0.1.0,0.1,,4,4,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00002,2025.04.02 08:45:00,US100,EXIT,LONG,0.1200,19393.74000000,19401.34000000,19348.16000000,19484.90000000,0.91,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,2,0.184297,1,0.1.0,0.1.0,0.1.0,0.1,,5,4,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00003,2025.04.02 08:50:00,US100,ENTRY,LONG,0.1100,19395.49000000,,19346.59000000,19493.29000000,,6.000000,12.000000,6.000000,12.000000,72,0,,2,0.171779,1,0.1.0,0.1.0,0.1.0,0.1,,6,6,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00003,2025.04.02 09:10:51,US100,EXIT,LONG,0.1100,19395.49000000,19386.84000000,19346.59000000,19493.29000000,-0.95,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,2,0.171779,1,0.1.0,0.1.0,0.1.0,0.1,,7,6,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00004,2025.04.02 14:30:00,US100,ENTRY,LONG,0.0400,19279.61000000,,19157.26000000,19524.32000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.068654,1,0.1.0,0.1.0,0.1.0,0.1,,8,8,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00004,2025.04.02 14:45:00,US100,EXIT,LONG,0.0400,19279.61000000,19268.59000000,19157.26000000,19524.32000000,-0.44,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,5,0.068654,1,0.1.0,0.1.0,0.1.0,0.1,,9,8,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00005,2025.04.02 14:50:00,US100,ENTRY,LONG,0.0400,19274.74000000,,19155.50000000,19513.22000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.070445,1,0.1.0,0.1.0,0.1.0,0.1,,10,10,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00005,2025.04.02 15:05:00,US100,EXIT,LONG,0.0400,19274.74000000,19227.21000000,19155.50000000,19513.22000000,-1.90,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,5,0.070445,1,0.1.0,0.1.0,0.1.0,0.1,,11,10,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
