trade_id,timestamp,symbol,event_type,direction,lot,entry_price,exit_price,sl_price,tp_price,pnl,k_sl_req,k_tp_req,k_sl_eff,k_tp_eff,hold_bars,bars_held,exit_reason,regime_id_at_entry,spread_atr_at_entry,flip_used,model_pack_version,clf_version,prm_version,cost_model_version
TS_00001,2025.04.02 08:10:02,US100,ENTRY,LONG,0.1200,19395.11000000,,19350.55000000,19484.24000000,,6.000000,12.000000,6.000000,12.000000,72,0,,4,0.188498,1,0.1.0,0.1.0,0.1.0,0.1
TS_00001,2025.04.02 08:25:00,US100,EXIT,LONG,0.1200,19395.11000000,19395.84000000,19350.55000000,19484.24000000,0.09,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,4,0.188498,1,0.1.0,0.1.0,0.1.0,0.1
TS_00002,2025.04.02 08:30:00,US100,ENTRY,LONG,0.1200,19393.74000000,,19348.16000000,19484.90000000,,6.000000,12.000000,6.000000,12.000000,72,0,,2,0.184297,1,0.1.0,0.1.0,0.1.0,0.1
TS_00002,2025.04.02 08:45:00,US100,EXIT,LONG,0.1200,19393.74000000,19401.34000000,19348.16000000,19484.90000000,0.91,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,2,0.184297,1,0.1.0,0.1.0,0.1.0,0.1
TS_00003,2025.04.02 08:50:00,US100,ENTRY,LONG,0.1100,19395.49000000,,19346.59000000,19493.29000000,,6.000000,12.000000,6.000000,12.000000,72,0,,2,0.171779,1,0.1.0,0.1.0,0.1.0,0.1
TS_00003,2025.04.02 09:10:51,US100,EXIT,LONG,0.1100,19395.49000000,19386.84000000,19346.59000000,19493.29000000,-0.95,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,2,0.171779,1,0.1.0,0.1.0,0.1.0,0.1
TS_00004,2025.04.02 14:30:00,US100,ENTRY,LONG,0.0400,19279.61000000,,19157.26000000,19524.32000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.068654,1,0.1.0,0.1.0,0.1.0,0.1
TS_00004,2025.04.02 14:45:00,US100,EXIT,LONG,0.0400,19279.61000000,19268.59000000,19157.26000000,19524.32000000,-0.44,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,5,0.068654,1,0.1.0,0.1.0,0.1.0,0.1
TS_00005,2025.04.02 14:50:00,US100,ENTRY,LONG,0.0400,19274.74000000,,19155.50000000,19513.22000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.070445,1,0.1.0,0.1.0,0.1.0,0.1
TS_00005,2025.04.02 15:05:00,US100,EXIT,LONG,0.0400,19274.74000000,19227.21000000,19155.50000000,19513.22000000,-1.90,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,5,0.070445,1,0.1.0,0.1.0,0.1.0,0.1
TS_00006,2025.04.02 15:45:00,US100,ENTRY,LONG,0.0300,19193.49000000,,19032.57000000,19515.33000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.052200,1,0.1.0,0.1.0,0.1.0,0.1
TS_00006,2025.04.02 16:00:00,US100,EXIT,LONG,0.0300,19193.49000000,19205.84000000,19032.57000000,19515.33000000,0.37,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,5,0.052200,1,0.1.0,0.1.0,0.1.0,0.1
TS_00007,2025.04.02 16:05:00,US100,ENTRY,LONG,0.0300,19178.24000000,,19006.97000000,19520.77000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.049047,1,0.1.0,0.1.0,0.1.0,0.1
TS_00007,2025.04.02 16:20:00,US100,EXIT,LONG,0.0300,19178.24000000,19176.71000000,19006.97000000,19520.77000000,-0.05,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,5,0.049047,1,0.1.0,0.1.0,0.1.0,0.1
TS_00008,2025.04.02 17:10:00,US100,ENTRY,LONG,0.0100,19354.01000000,,19034.68000000,19992.67000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.022547,0,0.1.0,0.1.0,0.1.0,0.1
TS_00008,2025.04.02 17:25:00,US100,EXIT,LONG,0.0100,19354.01000000,19419.19000000,19034.68000000,19992.67000000,0.65,6.000000,12.000000,6.000000,12.000000,72,3,EARLY_EXIT,5,0.022547,0,0.1.0,0.1.0,0.1.0,0.1
TS_00009,2025.04.02 17:30:00,US100,ENTRY,LONG,0.0100,19418.76000000,,19049.82000000,20156.63000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.019516,0,0.1.0,0.1.0,0.1.0,0.1
