prev_timestamp,timestamp,gap_minutes,prev_weekday,prev_time,curr_weekday,curr_time,gap_minutes_int,pattern_key,pattern_count,gap_type
2018-05-08 23:10:00,2018-05-08 23:30:00,20.0,Tuesday,23:10,Tuesday,23:30,20,Tuesday|23:10|Tuesday|23:30|20,193,recurring_market_closure
2018-05-08 23:55:00,2018-05-09 01:00:00,65.0,Tuesday,23:55,Wednesday,01:00,65,Tuesday|23:55|Wednesday|01:00|65,398,recurring_market_closure
2018-05-09 23:10:00,2018-05-09 23:30:00,20.0,Wednesday,23:10,Wednesday,23:30,20,Wednesday|23:10|Wednesday|23:30|20,191,recurring_market_closure
2018-05-09 23:55:00,2018-05-10 01:00:00,65.0,Wednesday,23:55,Thursday,01:00,65,Wednesday|23:55|Thursday|01:00|65,396,recurring_market_closure
2018-05-10 16:20:00,2018-05-10 16:55:00,35.0,Thursday,16:20,Thursday,16:55,35,Thursday|16:20|Thursday|16:55|35,1,intraday_missing_candidate
2018-05-10 17:00:00,2018-05-10 17:10:00,10.0,Thursday,17:00,Thursday,17:10,10,Thursday|17:00|Thursday|17:10|10,1,intraday_missing_candidate
2018-05-10 23:10:00,2018-05-10 23:30:00,20.0,Thursday,23:10,Thursday,23:30,20,Thursday|23:10|Thursday|23:30|20,190,recurring_market_closure
2018-05-10 23:55:00,2018-05-11 01:00:00,65.0,Thursday,23:55,Friday,01:00,65,Thursday|23:55|Friday|01:00|65,385,recurring_market_closure
2018-05-11 23:10:00,2018-05-14 01:00:00,2990.0,Friday,23:10,Monday,01:00,2990,Friday|23:10|Monday|01:00|2990,181,recurring_market_closure
2018-05-14 23:10:00,2018-05-14 23:30:00,20.0,Monday,23:10,Monday,23:30,20,Monday|23:10|Monday|23:30|20,179,recurring_market_closure
2018-05-14 23:55:00,2018-05-15 01:00:00,65.0,Monday,23:55,Tuesday,01:00,65,Monday|23:55|Tuesday|01:00|65,363,recurring_market_closure
2018-05-15 23:10:00,2018-05-15 23:30:00,20.0,Tuesday,23:10,Tuesday,23:30,20,Tuesday|23:10|Tuesday|23:30|20,193,recurring_market_closure
2018-05-15 23:55:00,2018-05-16 01:00:00,65.0,Tuesday,23:55,Wednesday,01:00,65,Tuesday|23:55|Wednesday|01:00|65,398,recurring_market_closure
