month,present
201904,True
201905,True
201906,True
201907,True
201908,True
201909,True
201910,True
201911,True
201912,True
202001,False
202002,False
202003,False
202004,False
202005,False
202006,False
202007,False
202008,False
202009,False
202010,False
202011,False
202012,False
202101,False
202102,False
202103,False
202104,False
202105,False
202106,False
202107,False
202108,False
202109,False
202110,False
202111,False
202112,False
202201,False
202202,False
202203,False
202204,False
202205,False
202206,False
202207,False
202208,True
202209,True
202210,True
202211,True
202212,True
202301,True
202302,True
202303,True
202304,True
202305,True
202306,True
202307,True
202308,True
202309,True
202310,True
202311,True
202312,True
202401,True
202402,True
202403,True
202404,True
202405,True
202406,True
202407,True
202408,True
202409,True
202410,True
202411,True
202412,True
202501,True
202502,True
202503,True
202504,True
202505,True
202506,True
202507,True
202508,True
202509,True
202510,True
202511,True
202512,True
202601,True
202602,True
202603,True
