start,end,bars,calendar_days
2018-05-08 01:00,2018-05-10 16:20,731,2.64
2018-05-10 16:55,2018-05-10 17:00,2,0.0
2018-05-10 17:10,2018-06-07 22:20,5426,28.22
2018-06-07 22:30,2018-07-25 04:15,8937,47.24
2018-07-25 04:25,2018-09-26 01:10,12100,62.86
2018-09-26 01:45,2018-10-16 10:30,3910,20.36
2018-10-16 10:40,2018-12-26 22:45,13493,71.5
2018-12-26 23:00,2019-04-11 02:30,20018,105.15
2019-04-11 02:55,2019-04-11 02:55,1,0.0
2019-04-11 03:15,2019-05-15 17:10,6393,34.58
2019-05-15 17:35,2019-09-18 10:00,24182,125.68
2019-09-18 10:10,2019-10-01 07:40,2416,12.9
2019-10-01 07:50,2020-02-18 02:30,26360,139.78
2020-02-18 02:45,2020-03-02 03:35,2456,13.03
2020-03-02 03:45,2020-03-09 05:05,1376,7.06
2020-03-09 05:15,2020-03-09 05:20,2,0.0
2020-03-09 06:10,2020-03-09 07:05,12,0.04
2020-03-09 07:25,2020-03-09 08:35,4,0.05
2020-03-09 08:50,2020-03-09 09:10,5,0.01
2020-03-09 09:25,2020-03-09 11:05,6,0.07
2020-03-09 11:25,2020-03-09 11:25,1,0.0
2020-03-09 12:20,2020-03-09 13:55,8,0.07
2020-03-09 14:50,2020-03-09 14:50,1,0.0
2020-03-09 15:45,2020-03-09 15:45,1,0.0
2020-03-09 16:05,2020-03-09 16:05,1,0.0
2020-03-09 16:30,2020-03-09 16:35,2,0.0
2020-03-09 16:45,2020-03-12 14:55,798,2.92
2020-03-12 15:25,2020-03-12 15:30,2,0.0
2020-03-12 16:05,2020-03-12 16:05,1,0.0
2020-03-12 16:30,2020-03-12 16:35,2,0.0
2020-03-12 16:50,2020-03-13 14:15,243,0.89
2020-03-13 14:40,2020-03-13 14:40,1,0.0
2020-03-13 14:50,2020-03-13 14:50,1,0.0
2020-03-13 15:00,2020-03-13 15:05,2,0.0
2020-03-13 15:15,2020-03-13 15:15,1,0.0
2020-03-13 16:05,2020-03-13 16:10,2,0.0
2020-03-13 16:30,2020-03-16 13:55,90,2.89
2020-03-16 14:30,2020-03-17 05:35,129,0.63
2020-03-17 06:15,2020-03-18 08:15,237,1.08
2020-03-18 08:35,2020-03-18 19:55,45,0.47
2020-03-18 20:10,2020-03-20 12:45,458,1.69
2020-03-20 13:05,2020-03-20 13:05,1,0.0
2020-03-20 13:15,2020-03-25 02:00,621,4.53
2020-03-25 02:10,2020-05-18 20:50,10284,54.78
2020-05-18 21:25,2020-07-27 09:30,13364,69.5
2020-07-27 09:40,2020-08-20 03:50,4827,23.76
2020-08-20 04:00,2021-02-01 02:45,31041,164.95
2021-02-01 03:00,2022-09-13 17:05,114049,589.59
2022-09-13 17:15,2023-05-03 09:45,44863,231.69
2023-05-03 09:55,2024-02-26 20:05,57596,299.42
2024-02-26 20:50,2024-02-29 17:35,790,2.86
2024-02-29 17:45,2024-04-25 23:05,10822,56.22
2024-04-25 23:15,2024-05-30 17:45,6783,34.77
2024-05-30 17:55,2024-06-04 17:15,795,4.97
2024-06-04 17:25,2025-04-02 09:00,58405,301.65
2025-04-02 09:10,2025-11-24 14:50,45902,236.24
2025-11-24 15:00,2025-11-28 05:00,938,3.58
2025-11-28 05:10,2026-03-06 23:55,18671,98.78
