trade_id,timestamp,symbol,event_type,direction,lot,entry_price,exit_price,sl_price,tp_price,pnl,k_sl_req,k_tp_req,k_sl_eff,k_tp_eff,hold_bars,bars_held,exit_reason,regime_id_at_entry,spread_atr_at_entry,flip_used,model_pack_version,clf_version,prm_version,cost_model_version
TS_00001,2025.04.02 08:10:02,US100,ENTRY,LONG,0.1200,19395.11000000,,19350.55000000,19484.24000000,,6.000000,12.000000,6.000000,12.000000,72,0,,4,0.188498,1,0.1.0,0.1.0,0.1.0,0.1
TS_00001,2025.04.02 10:40:00,US100,EXIT,LONG,0.1200,19395.11000000,19349.96000000,19350.55000000,19484.24000000,-5.42,6.000000,12.000000,6.000000,12.000000,72,28,SL,4,0.188498,1,0.1.0,0.1.0,0.1.0,0.1
TS_00002,2025.04.02 14:30:00,US100,ENTRY,LONG,0.0400,19279.61000000,,19157.26000000,19524.32000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.068654,1,0.1.0,0.1.0,0.1.0,0.1
TS_00002,2025.04.02 16:25:00,US100,EXIT,LONG,0.0400,19279.61000000,19153.46000000,19157.26000000,19524.32000000,-5.05,6.000000,12.000000,6.000000,12.000000,72,22,SL,5,0.068654,1,0.1.0,0.1.0,0.1.0,0.1
TS_00003,2025.04.02 17:10:00,US100,ENTRY,LONG,0.0100,19354.01000000,,19034.68000000,19992.67000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.022547,0,0.1.0,0.1.0,0.1.0,0.1
TS_00003,2025.04.02 23:10:00,US100,EXIT,LONG,0.0100,19354.01000000,19560.59000000,19354.01000000,19992.67000000,2.07,6.000000,12.000000,6.000000,12.000000,72,72,FORCE_EXIT,5,0.022547,0,0.1.0,0.1.0,0.1.0,0.1
TS_00004,2025.04.03 07:05:00,US100,ENTRY,LONG,0.0400,18944.39000000,,18809.87000000,19213.43000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.062444,0,0.1.0,0.1.0,0.1.0,0.1
TS_00004,2025.04.03 11:50:00,US100,EXIT,LONG,0.0400,18944.39000000,18944.24000000,18944.39000000,19213.43000000,-0.01,6.000000,12.000000,6.000000,12.000000,72,56,SL,3,0.062444,0,0.1.0,0.1.0,0.1.0,0.1
TS_00005,2025.04.03 11:55:00,US100,ENTRY,LONG,0.0300,18961.64000000,,18793.64000000,19297.64000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.050000,0,0.1.0,0.1.0,0.1.0,0.1
TS_00005,2025.04.03 13:50:00,US100,EXIT,LONG,0.0300,18961.64000000,18792.87000000,18793.64000000,19297.64000000,-5.06,6.000000,12.000000,6.000000,12.000000,72,22,SL,3,0.050000,0,0.1.0,0.1.0,0.1.0,0.1
TS_00006,2025.04.03 13:55:00,US100,ENTRY,LONG,0.0200,18814.02000000,,18576.22000000,19289.62000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.035324,1,0.1.0,0.1.0,0.1.0,0.1
